# Upcoming Events	Title	URL	City	Phone	Address	Metro ID	Metro Title
178	Young Centre for the Performing Arts	http://www.youngcentre.ca/index.html	Toronto		50 Tank House Lane	29	Toronto
176	Hamburger Mary's 	http://www.hamburgermaryschicago.com	Chicago	773-784-6969	5400 N. Clark St. 	3	Chicago
176	Blue Note Jazz Club	http://www.bluenote.net	New York	212-475-8592	131 West Third Street	10	NYC
175	Dallas Eagle	http://www.dallaseagle.com/	Dallas	(214) 357-4375	5740 Maple Ave	11	Dallas / Ft. Worth
170	Yoshi's Oakland	http://www.yoshis.com/oakland	Oakland	(510) 238-9200	510 Embarcadero West	18	The Bay Area
169	Film Society of Lincoln Center					10	NYC
167	Rogers Centre	http://www.rogerscentre.com/	Toronto		1 Blue Jays Way	29	Toronto
166	Apollo Theater	http://www.apollochicago.com/	Chicago	773-935-6100	2540 N Lincoln	3	Chicago
164	Missouri History Museum	http://www.mohistory.org	St. Louis	(314) 746-4599	5700 Lindell Blvd	36	St. Louis
160	Ridgefield Playhouse	http://www.ridgefieldplayhouse.org/	Ridgefield	203-438-5795	80 E Ridge Street	10	NYC
159	The Tobin Center for the Performing Arts	http://https://www.tobincenter.org/	San Antonio 	(210) 223-8624	100 Auditorium Circle	2	San Antonio
159	Webster Hall	http://www.websterhall.com/	New York		125 E. 11th Street	10	NYC
159	Slippery Slope	http://www.slipperyslopechicago.com/	Chicago	773.799.8504	2357 N. Milwaukee Ave. 	3	Chicago
158	A.C.T.	http://www.act-sf.org/	San Francisco	415.749.2228	415 Geary Street	18	The Bay Area
150	The Social Capital Theatre	http://socap.ca/	Toronto		154 Danforth Ave	29	Toronto
149	Greenhouse Theater Center	http://www.greenhousetheater.org/	Chicago	773-404-7336	2257 N. Lincoln Ave.	3	Chicago
148	Natt Spil	http://www.nattspil.com/	Madison		211 King Street	22	Madison
142	Sky Music Lounge		St Louis		930 Kehrs Mill Road	36	St. Louis
140	St. Ann's Warehouse	http://www.stannswarehouse.org/	Brooklyn		29 Jay Street	10	NYC
140	The Dreaming Comics and Games	http://www.thedreamingcomicsandgames.com/	Seattle		5226 University Way NE	9	Seattle
137	Gruene Hall	http://www.gruenehall.com	New Braunfels	830-606-1281	1281 Gruene Rd	1	Austin
135	Darcelle XV		Portland		208 Northwest Third Ave	19	Portland
135	Dimitriou's Jazz Alley	http://www.jazzalley.com	Seattle	(206) 441-9729	2033 6th Avenue Suite 255	9	Seattle
134	The McKittrick Hotel	http://sleepnomorenyc.com/hotel.htm	New York		530 W. 27th St.	10	NYC
134	Boston Center for the Arts	http://www.bcaonline.org/	Boston	(617) 426-5000	539 Tremont Street	25	Boston
134	Strange Brew	http://strangebrewaustin.com/	Austin	(512) 828-7636	 5326 Manchaca Rd	1	Austin
134	The Little Longhorn Saloon	http://thelittlelonghornsaloon.com/events/	Austin	(512) 458-1813	5434 Burnet Rd.	1	Austin
133	Schermerhorn Symphony Center		Nashville		1 Symphony Place	24	Nashville
133	New Jersey Performing Arts Center	http://www.njpac.org/	Newark		1 Center St	10	NYC
133	Symphony Space	http://www.symphonyspace.org	New York	212.864.5400	2537 Broadway	10	NYC
133	Reggie's	http://reggieslive.com	Chicago	(312) 949-0120	2105 - 2109 South State St.	3	Chicago
133	Smalls Jazz Club	http://www.smallsjazzclub.com	New York	(212) 252-5091	183 West 10th Street	10	NYC
133	TIFF Bell Lightbox	http://www.tiff.net/	Toronto		350 King St. W	29	Toronto
132	The Monarch Tavern	http://www.themonarchtavern.com/	Toronto		12 Clinton St.	29	Toronto
132	Concerts @ The Rubin Museum Of Art	http://www.rmanyc.org/	New York		150 W 17th	10	NYC
132	Zanies	http://www.nashville.zanies.com/	Nashville	615-269-0221	2025 8th Avenue South	24	Nashville
132	The Green Mill	http://www.greenmilljazz.com/	Chicago	773-878-5552	4802 N. Broadway St.	3	Chicago
131	House of Blues	http://www.houseofblues.com/dallas/	Dallas	(214) 978-2583	2200 North Lamar St.	11	Dallas / Ft. Worth
130	The Lansdowne Pub	http://www.lansdownepubboston.com/flash/	Boston	617.247.1222	9 Lansdowne Street	25	Boston
130	Second City Chicago MainStage					3	Chicago
130	Gotham Comedy Club	http://gothamcomedyclub.com/	New York		208 West 23rd St.	10	NYC
128	ZACH Theatre	http://zachtheatre.org/	Austin	(512)476-0541	1510 Toomey Road	1	Austin
126	The Comedy Store - La Jolla	http://lajolla.thecomedystore.com/	La Jolla	858-454-9176	916 Pearl St	31	San Diego
126	Amnesia	http://amnesiathebar.com/	San Francisco	415.970.0012	853 Valencia St.	18	The Bay Area
126	The Hotel Cafe	http://www.hotelcafe.com	Los Angeles	323-461-2040	1623 1/2 N. Cahuenga Blvd.	30	Los Angeles
125	Branded Saloon	http://www.brandedsaloon.com/	Brooklyn		603 Vanderbilt Ave	10	NYC
125	Victoria Event Centre	http://victoriaeventcentre.ca/	Victoria	(250) 380 1280	1415 Broad Street	50	Victoria
123	Los Angeles Central Library					30	Los Angeles
121	SF Jazz Center	http://www.sfjazz.org/center	San Francisco		201 Franklin Street	18	The Bay Area
121	TELUS Centre for Performance and Learning	https://performance.rcmusic.ca	Toronto		273 Bloor Street West	29	Toronto
119	Symphony Center	http://cso.org/	Chicago	312-294-3000	220 S. Michigan Ave.	3	Chicago
119	The Lovecraft	http://thelovecraftbar.com	Portland	971-270-7760	421 SE Grand	19	Portland
119	Portsmouth Music Hall	http://www.themusichall.org/	Portsmouth		28 Chestnut Street `	25	Boston
118	Angel City Brewery	http://angelcitybrewery.com	Los Angeles		216 South Alameda St	30	Los Angeles
118	Majestic Theatre					1	Austin
118	The White Horse	http://www.thewhitehorseaustin.com/	Austin	512-553-6756	500 Comal St	1	Austin
118	5th Avenue Theatre	http://www.5thavenue.org	Seattle	Box Office 206-625-1900; Adminis	1308 5th Avenue	9	Seattle
117	Siff Cinema Uptown	http://www.siff.net	Seattle	(206) 324-9996	511 Queen Anne Avenue N	9	Seattle
116	The Observatory	http://www.observatoryoc.com	Santa Ana	714.957.0600	3503 S. Harbor Blvd	30	Los Angeles
116	Long Center for the Performing Arts	http://thelongcenter.org/	Austin	512-474-5664	701 W. Riverside Drive	1	Austin
115	The Can Can	http://www.thecancan.com/	Seattle	206-652-0832	94 Pike St	9	Seattle
115	The Octopus Literary Salon	https://oaklandoctopus.org	Oakland	(510) 388-1043	2101 Webster St #170	18	The Bay Area
115	The Icehouse Comedy Club	http://icehousecomedy.com/	Pasadena	626-577-1894	24 N Mentor Ave	30	Los Angeles
115	Dallas Comedy House	http://www.dallascomedyhouse.com	Dallas	(214) 741-4448	3025 Main St	11	Dallas / Ft. Worth
115	826LA Echo Park	http://826la.org/index.php?page=home	Los Angeles	213-413-3388	1714 W. Sunset Blvd.	30	Los Angeles
114	88 keys	www.ilove88keys.com	seattle	206-839-1300	315 2nd ave s	9	Seattle
114	Carousel Lounge	http://www.carousellounge.net/	Austin	(512) 452-6790	1110 E. 52nd	1	Austin
114	The Mint	http://themintla.com	Los Angeles	323-954-9400	6010 West Pico Boulevard	30	Los Angeles
113	Laugh Boston	http://laughboston.com/	Boston		425 Summer Street	25	Boston
112	San Antonio Museum of Art	http://www.samuseum.org/	San Antonio 	(210) 978-8100	200 W Jones Ave	2	San Antonio
112	Central Cinema	http://central-cinema.com	Seattle	206-328-3230	1411 21st Ave, Seattle, WA 98122	9	Seattle
112	Mousetrap Bar & Grill	http://www.themousetrapbar.com/	Indianapolis	317-255-3189	5565 N. Keystone ave	42	Indianapolis
111	The Pageant	http://www.thepageant.com	St Louis	314.726.6161	6161 Delmar	36	St. Louis
111	Phoenix Comics & Games	http://phoenixseattle.com/	Seattle		113 Broadway E	9	Seattle
110	Oberon	http://americanrepertorytheater.org/venue/oberon	Cambridge		Two Arrow Street at Mass Avenue, Harvard Square	25	Boston
110	The Blue Diamond				2016 NE Sandy Portland, OR 97232	19	Portland
108	Cadillac Palace Theatre	http://www.broadwayinchicago.com/	Chicago	312-782-1600	151 W Randolph St	3	Chicago
108	Theatre on the Square	http://www.tots.org/	Indianapolis	(317) 685-6878	627 Mass Ave	42	Indianapolis
107	Under The Gun Theater	https://www.undertheguntheater.com/	Chicago	773-270-3440	956 West Newport	3	Chicago
107	Biddy Mcgraw's	http://www.biddymcgraws.com/	Portland		6000 Ne Glisan	19	Portland
106	Elbo Room	http://www.elboroomLIVE.com	Chicago	773-549-5549	2871 N. Lincoln Ave.	3	Chicago
106	Jimmy Mak's	http://www.jimmymaks.com/	Portland		221 NW 10th Ave	19	Portland
105	AT&T Center	http://www.attcenter.com	San Antonio 	(210) 444-5000	One AT&T Center	2	San Antonio
105	High Noon Saloon	http://www.high-noon.com/	Madison		701a East Washington Avenue	22	Madison
103	Kendall Square Cinema	http://www.landmarktheatres.com/market/Boston/KendallSquareCinema.htm	Cambridge		One Kendall Square (At 355 Binney Street)	25	Boston
103	Alberta Street Pub	http://www.myspace.com/albertastreetpub	PDX	503-284-7665	1036 NE Alberta	19	Portland
103	City Winery	http://www.citywinery.com/	Chicago	(312)-733-WINE	1200 W Randolph St	3	Chicago
102	Le Poisson Rouge	http://www.lprnyc.com	New York	212 505 FISH (3474)	158 Bleecker Street	10	NYC
101	Lestat's Coffee House	http://www.lestats.com/	San Diego	(619)282-0437	3343 Adams Avenue	31	San Diego
101	Tupelo	http://tupelosf.com/	San Francisco		1337 Grant Avenue	18	The Bay Area
100	Iridium Jazz Club	http://iridiumjazzclub.com/	New York		1650 Broadway	10	NYC
100	Eastville Comedy Club	http://eastvillecomedy.com/	New York		85 East 4th Street	10	NYC
100	City Winery	http://www.citywinery.com	New York	1-212-608-0555	155 Varick Street	10	NYC
99	Brooklyn Bowl	http://www.brooklynbowl.com	Brooklyn	718.963.3369	61 Wythe Avenue	10	NYC
99	Davies Symphony Hall	http://www.performances.org/theaters/davies.asp	San Francisco	(415) 864-6000	Grove Street & Van Ness Avenue	18	The Bay Area
99	Powerhouse	http://www.powerhouse-sf.com/	San Francisco		1347 Folsom Street	18	The Bay Area
99	Facets Cinémathèque	http://www.facets.org/	Chicago	(773) 281-9075	1517 W. Fullerton Ave.	3	Chicago
99	Actors Theatre of Louisville	http://www.actorstheatre.org	Louisville	502.584.1205	316 W Main Street	47	Louisville
98	Quencher's 	http://www.quenchers.com	Chicago	(773) 276-9730	2401 North Western Avenue	3	Chicago
98	Old National Centre	http://oldnationalcentre.com/index	Indianapolis	317-231-0000	502 N New Jersey St	42	Indianapolis
98	The Paramount and Stateside Theatres	http://www.austintheatre.org	Austin	512-472-2901	713 Congress	1	Austin
97	Pine Room Tavern	http://www.pineroomtavern.net	Nashville	812-988-0236	51 E Chestnut Street	42	Indianapolis
97	Streets Of Portland					19	Portland
97	The Improv Centre (Vancouver TheatreSports)	http://www.vtsl.com/	Vancouver	(604) 738-7013	1502 Duranleau Street	32	Vancouver
97	Seattle Repertory Theatre	http://https://www.seattlerep.org/	Seattle	(206) 443-2222	155 Mercer St	9	Seattle
96	Club Passim	http://www.clubpassim.org/	Cambridge		47 Palmer Street	25	Boston
96	Alamo Drafthouse Slaughter Lane	http://drafthouse.com/austin/slaughter_lane	Austin	512-861-7060	5701 W. Slaughter Lane	1	Austin
96	The Night Light	http://www.thenightlightoakland.com/	Oakland	(510) 282-1413	311 Broadway	18	The Bay Area
96	Capitol Cider	http://www.seattleciderbar.com/	Seattle 	(206) 397-3564	818 E Pike St	9	Seattle
96	The Crow's Nest	http://www.crowsnest-santacruz.com/index.php	Santa Cruz	(831) 476-4560	2218 E. Cliff Drive	18	The Bay Area
95	Mad House Comedy Club	http://madhousecomedyclub.com/	San Diego	619-702-6666	502 Horton Plaza	31	San Diego
94	Bar Matchless	http://barmatchless.com/	Brooklyn	718-383-5333	557 Manhattan Avenue	10	NYC
94	Skinny Dennis	http://www.skinnydennisbar.com/	Brooklyn		152 Metropolitan Avenue	10	NYC
94	Funny Bone St. Louis	http://www.stlouisfunnybone.com/	Maryland Heights		614 Westport Plaza Dr.	36	St. Louis
94	Bowery Ballroom					49	Tulsa
92	Jazz Standard	http://www.jazzstandard.com	New York	212.576.2232	116 East 27th Street	10	NYC
92	Off Broadway	http://www.offbroadwaystl.com	St Louis	314.773.3363	3509 Lemp Avenue	36	St. Louis
92	The Stephen Talkhouse	http://www.stephentalkhouse.com/	Amagansett		161 Main Street	10	NYC
92	Bookpeople	http://www.bookpeople.com	Austin	512-472-5050	603 N. Lamar Blvd.	1	Austin
91	Terra Blues		New York	(212) 777-7776	149 Bleecker St	10	NYC
91	Knitting Factory - Brooklyn	http://bk.knittingfactory.com	Brooklyn	(347) 529-6696	361 Metropolitan Ave	10	NYC
90	Mississippi Studios	http://www.mississippistudios.com/	Portland		3939 North Mississippi	19	Portland
90	The Slipper Room	http://www.slipperroom.com/	New York	(212) 253-7246	167 Orchard Street	10	NYC
90	Annoyance Theatre NY		Brooklyn		367 Bedford Ave	10	NYC
89	Jazz at the Bistro	http://www.jazzstl.org/	St Louis	(314) 571-6000	3536 Washington Avenue	36	St. Louis
89	Evangeline's Bistro and Music House	http://www.evangelinesstl.com	St. Louis	314-367-3644	512 N. Euclid Ave.	36	St. Louis
89	Laugh Factory	http://www.laughfactory.com	Chicago	773.327.3175	3175 N. Broadway	3	Chicago
89	The Triple Door	http://www.thetripledoor.net/	Seattle	The Triple Door	216 Union Street	9	Seattle
89	Fubar	http://www.fubarstl.com	St Louis	314-289-9050	3108 Locust	36	St. Louis
89	Second City Chicago E.T.C. Theater					3	Chicago
88	Seattle Art Museum	http://www.seattleartmuseum.org	Seattle	206-654-3156	1300 1st Avenue	9	Seattle
88	Mercury Lounge	http://www.mercuryloungenyc.com/	New York	212.260.4700	217 E Houston St	10	NYC
88	The American Comedy Co.	http://americancomedyco.com/	San Diego	619-795-3858	818 B 6th Ave	31	San Diego
88	Birdland	http://www.birdlandjazz.com	New York	212-581-3080	315 West, 44th Street	10	NYC
88	Louisville Slugger Field	http://www.milb.com/index.jsp?sid=t416	Louisville	502.212.2287	401 E Main Street	47	Louisville
87	Town Hall Seattle	http://www.townhallseattle.org	Seattle	(206) 652-4255	1119 8th Avenue	9	Seattle
87	Stubb's	http://www.stubbsaustin.com/	Austin	512-480-8341	801 Red River	1	Austin
87	University of Southern California Newman Recital Hall		Los Angeles		""	30	Los Angeles
86	Victory Field 	http://web.minorleaguebaseball.com/	Indianapolis	317-269-3545	501 W. Maryland Street	42	Indianapolis
85	Re-Bar		Seattle		1114 Howell Street	9	Seattle
85	Stone Way Cafe	http://www.stonewaycafe.com/	Seattle		3510 Stone Way N	9	Seattle
85	Mexicali Live		Teaneck		1409 Queen Anne Blvd	10	NYC
84	The Basement	http://www.thebasementnashville.com	Nashville		1604 8th Avenue South	24	Nashville
84	Belly Up Tavern	http://www.bellyup.com	Solana Beach	(858) 481-9022	143 S Cedros Ave	31	San Diego
84	Empty Bottle	http://www.emptybottle.com/	Chicago	773-276-3600	1035 N. Western Ave.	3	Chicago
84	The Demo	http://www.thedemostl.com	St. Louis	(314) 775-3366	4144 Manchester	36	St. Louis
84	Doug Fir	http://www.dougfirlounge.com	PDX	503-231-9663	830 E Burnside	19	Portland
83	SPACE	http://www.evanstonspace.com/	Evanston	847-492-8860	1245 Chicago Avenue	3	Chicago
83	O.Co Coliseum	http://www.coliseum.com/	Oakland	(510) 569-2121 	7000 Coliseum Way	18	The Bay Area
82	City Winery	http://www.citywinery.com/nashville/	Nashville	(615) 324-1010	609 Lafayette St.	24	Nashville
82	Get Dirty Ceramics	http://www.getdirtyceramics.com/	Indianapolis		1043 Virginia Avenue	42	Indianapolis
82	Madison Square Garden	http://www.thegarden.com	New York	212 465 6290	7th Ave & 32nd St	10	NYC
82	The Second City	http://www.secondcity.com/	Toronto		70 Peter St.	29	Toronto
81	Apollo Theater	http://www.apollotheater.com	New York		253 West 125th Street	10	NYC
81	The Performing Arts Center-Purchase College					10	NYC
81	The Laugh Factory	http://www.laughfactory.com/	Los Angeles		8001 Sunset Blvd	30	Los Angeles
81	House of Blues - Anaheim	http://www.hob.com/venues/clubvenues/anaheim/	Anaheim	(714) 778–2583	1530 S. Disneyland Dr.	30	Los Angeles
80	The Highball	http://www.thehighball.com/	Austin	(512) 383-8309	1120 S. Lamar Blvd.	1	Austin
80	The Rustic	http://www.therusticrestaurant.com	Dallas	(214) 730-0596	3656 Howell St	11	Dallas / Ft. Worth
80	Cafe Carlyle		New York		35 E 76th St	10	NYC
80	Staples Center	http://www.staplescenter.com/	Los Angeles	213-742-7100	1111 S. Figueroa St,	30	Los Angeles
80	The Local Pub	http://thelocalpub.ca/	Toronto		396 Roncesvalles Ave.	29	Toronto
80	The Free Man	http://www.freemandallas.com	Dallas	(214) 377-9893	2626 Commerce St	11	Dallas / Ft. Worth
80	The Jazz Kitchen	http://thejazzkitchen.com/	Indianapolis	317-253-4900	5377 N College Avenue	42	Indianapolis
79	The Gramercy Theatre	http://thegramercytheatre.com/	New York		127 East 23rd Street	10	NYC
79	Fenway Park	http://boston.redsox.mlb.com/bos/ballpark/	Boston		4 Yawkey Way	25	Boston
79	C-Boy's Heart & Soul Bar	http://cboysheartnsoul.com	Austin	(512) 215-0023	2008 S Congress Ave	1	Austin
79	Paramount Theatre	http://www.theparamount.com	Seattle	206 467 5510	901 Pine Street	9	Seattle
79	FitzGerald's 	http://www.fitzgeraldsnightclub.com/	Berwyn	(708) 788-2118	6615 12th Street	3	Chicago
79	The Belfry Theatre	http://www.belfry.bc.ca/	Victoria	(250) 385 6815	1291 Gladstone Ave	50	Victoria
79	Baby's All Right		Brooklyn		146 Broadway	10	NYC
79	The Echo	http://www.attheecho.com	Los Angeles	213-413-8200	1822 Sunset Blvd.	30	Los Angeles
78	Highline Ballroom	http://highlineballroom.com/	New York	(212) 414-5994	431 W 16th St	10	NYC
78	Luckenbach Dancehall	http://www.luckenbachtexas.com	Fredericksburg	(830) 997-3224	412 Luckenbach Town Loop	2	San Antonio
78	Roxie Theater	http://www.roxie.com/	San Francisco	(415) 863-1087	3117 16th Street	18	The Bay Area
78	Speakeasy	http://www.speakeasyaustin.com	Austin	512-476-8017	412 Congress Ave.	1	Austin
77	710 Beach Club	http://www.710bc.com/san-diego-events/category/live-music/	San Diego		710 Garnet Ave	31	San Diego
77	Keller Auditorium	http://www.portland5.com/keller-auditorium	Portland	503.274.6551	222 SW Clay	19	Portland
77	Air Canada Centre	http://www.theaircanadacentre.com	Toronto	416-815-5500	40 Bay Street	29	Toronto
77	The Catalyst	http://www.catalystclub.com/	Santa Cruz	831-423-1338	1011 Pacific Ave	18	The Bay Area
77	Walt Disney Concert Hall	http://www.laphil.com	Los Angeles		135 N. Grand Ave.	30	Los Angeles
76	The Crown and Harp	http://www.thecrownandharp.com	Dallas	(214) 828-1914	1914 Greenville Ave	11	Dallas / Ft. Worth
76	Columbia City Theater	http://columbiacitytheater.com	Seattle	(206) 722-3009	4916 Rainier Ave	9	Seattle
76	Brooklyn Academy Of Music	http://www.bam.org/	New York		30 Lafayette Avenue	10	NYC
76	The Old Rock House	http://oldrockhouse.com/	St Louis		1200 S. 7th Street	36	St. Louis
75	The Bluebird Cafe	http://www.bluebirdcafe.com/	Nashville	(615) 383-1461	4104 Hillsboro Road	24	Nashville
75	Bluma Appel Theatre 	http://www.stlc.com/	Toronto	1.800.708.6754 	 27 Front Street East 	29	Toronto
75	Alamo Drafthouse at the Ritz	http://drafthouse.com/austin/the_ritz	Austin	(512) 476-1320	320 E 6th St	1	Austin
75	The Bowery Ballroom	http://www.boweryballroom.com	New York	(212) 533-2111	6 Delancey St	10	NYC
75	Caroline's On Broadway	http://www.carolines.com/?s_id=6B239C3454631C668096A23E7862761F	New York		1626 Broadway	10	NYC
75	The Silverlake Lounge	http://thesilverlakelounge.com/	Los Angeles	323-663-9636	2906 Sunset Blvd	30	Los Angeles
74	92Y	http://www.92y.org/	New York		1395 Lexington Avenue	10	NYC
74	First Tennessee Park	http://www.firsttennesseepark.com/	Nashville		401 Jackson St	24	Nashville
74	Workshop	http://www.workshopsf.org/?page_id=89	San Francisco 	415-874-9186	1798 McAllister St	18	The Bay Area
74	The Independent	http://www.theindependentsf.com	San Francisco	415.771.1422	628 Divisadero Street	18	The Bay Area
74	Wilbur Theatre	http://thewilbur.com/	Boston		246 Tremont St.	25	Boston
74	Sheldon Concert Hall and Art Galleries	http://www.sheldonconcerthall.org/index.php	St. Louis	(314) 533-9900	3648 Washington Blvd. 	36	St. Louis
74	UCB Theatre	http://losangeles.ucbtheatre.com/	Los Angeles	(323) 908-8702	5919 Franklin Avenue	30	Los Angeles
74	Yuk Yuk's		Toronto		224 Richmond St. W	29	Toronto
74	Largo	http://www.largo-la.com	Los Angeles	310-855-0350	366 N La Cienega Blvd.	30	Los Angeles
73	Cafe Mustache	http://www.cafemustache.com/	Chicago	773.687.9063	2313 N. Milwaukee Ave.	3	Chicago
73	Mohawk Austin	http://www.mohawkaustin.com/	Austin	512.666.0877	912 Red River	1	Austin
73	Schubas	http://www.lh-st.com/	Chicago	773-525-2508	3159 N Southport Ave	3	Chicago
72	Yuk Yuk's Vancouver Comedy Club	https://www.yukyuks.com/index.cfm?action=club&venueID=812	Vancouver	(604) 696-9857	2837 Cambie Street	32	Vancouver
72	Gorilla Tango Theatre	http://www.gorillatango.com/	Chicago	773-598-4549	1919 N Milwaukee Ave	3	Chicago
72	Ground Kontrol	http://groundkontrol.com/	Portland	(503)796-9364	511 NW Couch St.	19	Portland
72	Chicago Improv Comedy Club	http://www.symfonee.com/improv/chicago/home/Index.aspx	Chicago		5 Woodfield Mall	3	Chicago
71	Marlin Room At Webster Hall	http://www.websterhall.com/rentals/08_photo_mr.php	New York		125 E. 11th Street	10	NYC
71	The Sinclair	http://www.sinclaircambridge.com/	Cambridge			25	Boston
71	The Historic Artcraft Theatre	http://www.historicartcrafttheatre.org/	Franklin	317-736-6823	57 N Main Street	42	Indianapolis
71	The Butchart Gardens	http://www.butchartgardens.com/	Victoria	(250) 652 5256	800 Benvenuto Avenue	50	Victoria
71	Mill Geek Comics	http://www.millgeekcomics.com/	Bothell	(425) 415-6666	17928 Bothell Everet Hwy	9	Seattle
71	Harbourfront Centre	http://www.harbourfrontcentre.com/	Toronto		235 Queens Quay W	29	Toronto
71	Segerstrom Center for the Arts	http://www.scfta.org	Costa Mesa	714-556-ARTS	600 Town Center Dr.	30	Los Angeles
70	Hammer Museum		Los Angeles		10899 Wilshire Blvd	30	Los Angeles
70	The Middle East Upstairs	http://www.mideastoffers.com/me/content/upstairs-shows	Cambridge		472 Massachusetts Avenue	25	Boston
70	Scottrade Center	http://www.scottradecenter.net	St Louis		1401 Clark	36	St. Louis
70	Ryman Auditorium	http://www.ryman.com/	Nashville	(615) 889-3060	116 5th Avenue North	24	Nashville
70	Cafe Racer	http://caferacerseattle.com/	Seattle		""	9	Seattle
70	Adair's Saloon	http://www.adairssaloon.com	Dallas	(214) 939-9900	2624 Commerce St	11	Dallas / Ft. Worth
70	Grand Park	http://www.grandparkla.org	Los Angeles	(213) 972-8080	200 North Grand Avenue	30	Los Angeles
70	The California Clipper	http://www.californiaclipper.com/	Chicago	(773)384-2547	1002 N. California Ave.	3	Chicago
69	Four Seasons					1	Austin
69	The Whistler	http://www.whistlerchicago.com/	Chicago	(773) 227-3530	2421 N. Milwaukee Ave	3	Chicago
